,subject,vertebra,poi_idx,target,coarse,refined,coarse_proj,refined_proj,coarse_proj_dist,refined_proj_dist,loss_mask,coarse_error,refined_error,coarse_proj_error,refined_proj_error
0,WS-62,3,81,[62 44 41],[61.962467 46.26332  39.53363 ],[61.328712 45.709526 40.861286],[62 46 40],[61 46 41],0.53688663,0.46007445,True,2.6970855010459527,1.8418327399641372,2.23606797749979,2.23606797749979
1,WS-62,3,101,[64 82 51],[63.7971  81.50106 49.84785],[63.087467 82.28728  50.12713 ],[64 82 50],[63 82 50],0.5596949,0.32609874,True,1.2718320650222557,1.295047799854698,1.0,1.4142135623730951
2,WS-62,3,102,[64 70 53],[63.946236 70.20385  52.439102],[62.985985 69.99567  52.552   ],[64 70 52],[63 70 53],0.48708937,0.44824198,True,0.599209241417831,1.1085807451135454,1.0,1.0
3,WS-62,3,103,[63 83 38],[64.0923  82.18164 38.61022],[64.1511   82.122734 38.858124],[64 82 38],[64 82 38],0.64333767,0.87992686,True,1.4950595256294712,1.682558619537908,1.4142135623730951,1.4142135623730951
4,WS-62,3,104,[63 70 40],[63.01744 69.2425  41.37509],[63.152306 70.55269  41.223442],[63 70 41],[63 70 41],0.8454606,0.6152951,True,1.5700276263243873,1.3511003667767527,1.0,1.0
5,WS-62,3,109,[72 79 52],[70.91162 79.63626 50.09288],[69.97539  78.912285 51.030563],[71 80 50],[70 79 52],0.385673,0.9737079,True,2.2861545072147007,2.2464542807692904,2.449489742783178,2.0
6,WS-62,3,110,[71 70 53],[70.74989 69.48314 52.76113],[70.001816 69.58447  52.112305],[71 70 53],[70 70 52],0.6218979,0.43044,True,0.6218978480043522,1.3989416165645632,0.0,1.4142135623730951
7,WS-62,3,111,[71 79 42],[69.89307  79.54845  39.826233],[69.01798  80.27529  39.932167],[70 80 40],[69 81 40],0.49551007,0.72809833,True,2.500271800333051,3.1353938824474827,2.449489742783178,3.4641016151377544
8,WS-62,3,112,[70 71 42],[69.49868  69.88211  41.081615],[69.11024  70.42711  41.893173],[69 71 41],[69 71 42],1.2267925,0.5931008,True,1.5311526811347194,1.0636231986724198,1.4142135623730951,1.0
9,WS-62,3,117,[56 80 53],[55.90045  80.57721  51.947357],[55.467728 79.33945  52.515545],[56 80 52],[55 79 53],0.58809173,0.7541155,True,1.2046317107552387,0.976903696604175,1.0,1.4142135623730951
10,WS-62,3,118,[56 71 55],[56.683975 70.0252   54.292458],[55.866985 71.03602  53.60376 ],[57 71 54],[56 71 54],1.0656633,0.41951942,True,1.3851619510683248,1.4030242407016704,1.4142135623730951,1.0
11,WS-62,3,119,[56 80 44],[56.34272  80.29148  40.715675],[56.372166 80.61567  40.296406],[57 80 41],[57 80 41],0.77318734,1.1261747,True,3.3149972223736603,3.7728193668788865,3.1622776601683795,3.1622776601683795
