,subject,vertebra,poi_idx,target,coarse,refined,coarse_proj,refined_proj,coarse_proj_dist,refined_proj_dist,loss_mask,coarse_error,refined_error,coarse_proj_error,refined_proj_error
0,WS-62,3,81,[62 44 41],[62.10092  46.422096 41.901096],[62.032875 45.629498 41.71097 ],[63 46 42],[63 46 42],0.99814284,1.0752395,True,2.586254058058803,1.7781518242077772,2.449489742783178,2.449489742783178
1,WS-62,3,101,[64 82 51],[65.02457  81.26332  51.135437],[64.98833 81.2846  50.58344],[65 81 51],[65 81 51],0.29712728,0.50463474,True,1.269163530812418,1.2892290870458625,1.4142135623730951,1.4142135623730951
2,WS-62,3,102,[64 70 53],[64.48683 69.62697 51.722  ],[64.0129   69.763596 51.61983 ],[64 70 52],[64 70 52],0.6733807,0.4478637,True,1.4175476516738146,1.4003284351763694,1.0,1.0
3,WS-62,3,103,[63 83 38],[64.30562  82.838066 39.925564],[63.967514 82.78292  38.524086],[64 83 39],[64 83 39],0.9880756,0.5240924,True,2.3320929852334373,1.1215493348881485,1.4142135623730951,1.4142135623730951
4,WS-62,3,104,[63 70 40],[63.736385 70.07182  40.49845 ],[62.991493 70.43812  40.29341 ],[64 70 40],[63 70 40],0.56842315,0.5273613,True,0.8921185847070839,0.5273612565869923,1.0,0.0
5,WS-62,3,109,[72 79 52],[72.17886  79.24767  51.350067],[72.03989  78.08474  51.091843],[72 79 51],[72 79 51],0.46463007,0.9207211,True,0.7181551483147408,1.2899775753241551,1.0,1.0
6,WS-62,3,110,[71 70 53],[72.15825  68.74021  53.004463],[72.08064 70.26048 51.99891],[72 70 53],[72 70 52],1.2696967,0.27268246,True,1.7113233287676477,1.495935535208264,1.0,1.4142135623730951
7,WS-62,3,111,[71 79 42],[71.03597  79.54964  40.284885],[70.96917  78.766525 40.014103],[70 80 40],[70 79 40],1.1650004,0.99699503,True,1.8013918933008979,1.9998120192637598,2.449489742783178,2.23606797749979
8,WS-62,3,112,[70 71 42],[70.42873  70.46628  41.779182],[70.05479 71.27997 41.64431],[70 71 42],[70 71 42],0.71932304,0.45595962,True,0.7193230434076328,0.4559596319251079,0.0,0.0
9,WS-62,3,117,[56 80 53],[57.580006 80.28636  53.06198 ],[57.019463 79.20315  52.940113],[58 80 53],[57 80 53],0.51209366,0.7993363,True,1.6069419808722727,1.2953237803368414,2.0,1.0
